"Rank","NCT Number","Title","Status","Study Results","Conditions","Interventions","Sponsor/Collaborators","Study Type","Locations","Study Documents","URL"
1385,"NCT04713878","Mesenchymal Stem Cells Therapy in Patients With COVID-19 Pneumonia","Completed","No Results Available","Coronavirus Disease 2019 (COVID-19) Pneumonia","Other: Mesenchymal stem cells","Kanuni Sultan Suleyman Training and Research Hospital","Interventional","University of Health Sciences, Istanbul, Turkey","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/78/NCT04713878/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT04713878"
1386,"NCT04425889","COVID-19 Antibodies Among Healthcare Workers","Completed","No Results Available","COVID-19|SARS-CoV 2","Diagnostic Test: COVID-19 IgG/IgM Rapid Test Cassette test (Healgen Scientific, Houston, Texas, USA)","Hospital Universitario Dr. Jose E. Gonzalez","Observational","Hospital Universitario José E. Gonzalez, Monterrey, Nuevo Leon, Mexico",,"https://ClinicalTrials.gov/show/NCT04425889"
1387,"NCT04608266","CAMOVID : Evaluation of Efficacy and Safety of Camostat Mesylate for the Treatment of SARS-CoV-2 Infection - COVID-19 in Ambulatory Adult Patients","Recruiting","No Results Available","Covid19","Drug: Camostat Mesylate|Drug: Placebo","Assistance Publique - Hôpitaux de Paris","Interventional","Centre Hospitalier Victor Dupouy, Argenteuil, France|AP-HP Hôpital Henri Mondor, Créteil, France|AP-HP Hôpital Bichat, Paris, France|APHP - Saint Louis, Paris, France|Centre de Santé Richerand, Paris, France",,"https://ClinicalTrials.gov/show/NCT04608266"
1388,"NCT04388436","Post Covid-19 Cardiopulmonary and Immunological Changes","Active, not recruiting","No Results Available","COVID",,"Mansoura University","Observational","Mansoura faculty of medicine, Mansoura, Dakahlia, Egypt",,"https://ClinicalTrials.gov/show/NCT04388436"
1389,"NCT04535063","Convalescent Plasma as Potential Therapy for Severe COVID-19 Pneumonia","Recruiting","No Results Available","Covid19 Pneumonia","Biological: COVID19 convalescent plasma infusion","Centro de Educación Medica e Investigaciones Clínicas Norberto Quirno","Interventional","Centro de Educación Médica e Investigaciones Clínicas, Buenos Aires, Argentina",,"https://ClinicalTrials.gov/show/NCT04535063"
1390,"NCT04426084","Cardiovascular Risk Factors and Severe COVID-19. A Nationwide Registry-based Case-Control Study","Active, not recruiting","No Results Available","COVID-19","Other: Hypertension|Other: Diabetes type 2|Other: Obesity|Drug: Antihypertensive Agents|Drug: Statins (Cardiovascular Agents)","Karolinska Institutet","Observational","Södersjukhuset, Stockholm, Sweden",,"https://ClinicalTrials.gov/show/NCT04426084"
1391,"NCT04355533","Immunity Against SARS-CoV2 in Children and Their Parents / COVID-19","Recruiting","No Results Available","COVID-19 Infection","Biological: serology test|Biological: nasopharyngeal swab|Biological: rectal swab|Biological: saliva sample","Assistance Publique - Hôpitaux de Paris|Institut National de la Santé Et de la Recherche Médicale, France|Commissariat a l'energie atomique et aux energies alternatives|Institut Pasteur","Interventional","Hôpital necker Enfants-Malades, ¨Paris, France",,"https://ClinicalTrials.gov/show/NCT04355533"
1392,"NCT04590261","Myeloid Cells in Patients With Covid-19 Pneumonia","Not yet recruiting","No Results Available","Covid-19; SARS-Cov2","Other: Blood sampling|Other: Nasal Brushing","Assistance Publique - Hôpitaux de Paris|Institut National de la Santé Et de la Recherche Médicale, France","Interventional",,,"https://ClinicalTrials.gov/show/NCT04590261"
1393,"NCT04670094","Comorbidities and Risk Score in COVID-19 Patients","Active, not recruiting","No Results Available","Covid19",,"University of Milano Bicocca","Observational","ASST Grande Ospedale Metropolitano Niguarda, Milan, Italy|ASST Spedali Civili, Montichiari, Italy|ASST Monza-Ospedale San Gerardo, Monza, Italy|Humanitas Clinical and Research Hospital, Rozzano, Italy|Centre for Tropical and Infectious Diseases and Microbiology, IRCCS Sacro Cuore, Verona, Italy",,"https://ClinicalTrials.gov/show/NCT04670094"
1394,"NCT04583410","Efficacy of Nicotine in Preventing COVID-19 Infection","Recruiting","No Results Available","Covid19|SARS-Associated Coronavirus as Cause of Disease Classified Elsewhere","Drug: Nicotine patch|Drug: Placebo patch","Assistance Publique - Hôpitaux de Paris","Interventional","Centre Hospitalier Gonesse, Gonesse, France|Groupe Hospitalier de la Région de Mulhouse Sud Alsace, Mulhouse, France|Hôpital Pitié Salpêtrière - Service de Médecine Interne, Paris, France|Hôpital Sainte-Anne, Paris, France",,"https://ClinicalTrials.gov/show/NCT04583410"
1395,"NCT04648410","Corticosteroids in Severe COVID-19(ASAP-C Study)","Recruiting","No Results Available","Severe COVID-19","Other: questionnaire","Brno University Hospital","Observational","University Hospital Brno, Brno, Czechia",,"https://ClinicalTrials.gov/show/NCT04648410"
1396,"NCT04572360","Cardiorespiratory Exercise & Chinese Medicine for Rehabilitation of Discharged Coronavirus Disease (COVID-19) Patients","Not yet recruiting","No Results Available","Coronavirus Disease (COVID-19)","Other: Cardiorespiratory Exercise|Other: Modified Bai He Gu Jin Tang","Hong Kong Baptist University|The University of Hong Kong|Chinese University of Hong Kong|The Hong Kong Polytechnic University|University of South Wales|Yale University|University of California, San Diego","Interventional","Linda Zhong, Kowloon Tong, Kowloon, Hong Kong",,"https://ClinicalTrials.gov/show/NCT04572360"
1397,"NCT04315896","Hydroxychloroquine Treatment for Severe COVID-19 Pulmonary Infection (HYDRA Trial)","Active, not recruiting","No Results Available","COVID-19|Severe Acute Respiratory Syndrome","Drug: Hydroxychloroquine|Drug: Placebo oral tablet","National Institute of Respiratory Diseases, Mexico|Sanofi","Interventional","Instituto Nacional de Enfermedades Respiratorias, ""Ismael Cosío Villegas"", Mexico, City, Mexico",,"https://ClinicalTrials.gov/show/NCT04315896"
1398,"NCT04642339","Clinical Trial of the Immunogenicity, Safety, and Efficacy of the Gam-COVID-Vac Vaccine Against COVID-19 in Venezuela","Not yet recruiting","No Results Available","Covid19","Biological: Gam-COVID-Vac|Biological: Placebo","Gamaleya Research Institute of Epidemiology and Microbiology, Health Ministry of the Russian Federation|Ministerio del Poder Popular para la Salud de la República Bolivariana de Venezuela","Interventional",,,"https://ClinicalTrials.gov/show/NCT04642339"
1399,"NCT04491292","Assessment of the Psychosocial Impact of the COVID-19 Pandemic on the MD Anderson Cancer Center Workforce","Recruiting","No Results Available","COVID-19 Infection","Other: Questionnaire Administration","M.D. Anderson Cancer Center|National Cancer Institute (NCI)","Observational","M D Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04491292"
1400,"NCT04569227","Prevention of COVID-19 Infection to Severe Pneumonia or ARDS","Not yet recruiting","No Results Available","Covid19 Pneumonia","Drug: EC-18|Drug: Placebo","Enzychem Lifesciences Corporation","Interventional",,,"https://ClinicalTrials.gov/show/NCT04569227"
1401,"NCT04695457","Correlation Between the Incidence of COVID-19 in Nursing-homes and the Profile of Nursing Homes in the French Alps","Completed","No Results Available","Covid19|Nursing Home",,"Centre Hospitalier Annecy Genevois","Observational","Ch Annecy Genevois, Pringy, France",,"https://ClinicalTrials.gov/show/NCT04695457"
1402,"NCT04460651","PREPARE-IT. Prevention of COVID19 With EPA in Healthcare Providers at Risk - Intervention Trial","Recruiting","No Results Available","COVID19","Drug: Icosapent ethyl (IPE)|Drug: Placebo","Estudios Clínicos Latino América|Amarin Pharma Inc.","Interventional","Instituto de Investigaciones Clínicas - Rosario, Rosario, Santa Fe, Argentina",,"https://ClinicalTrials.gov/show/NCT04460651"
1403,"NCT04689724","Covid-19 Airway Management","Recruiting","No Results Available","Covid-19_airways Management",,"University Health Network, Toronto","Observational","University Health Network, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT04689724"
1404,"NCT04723290","COVID-19 Seroconversion Study Among GHdC Staff Members - Summer 2020","Completed","No Results Available","Covid19","Diagnostic Test: Serological tests for SARS Cov-2","Grand Hôpital de Charleroi","Interventional","Grand Hôpital de Charleroi, Charleroi, Hainaut, Belgium",,"https://ClinicalTrials.gov/show/NCT04723290"
1405,"NCT04273646","Study of Human Umbilical Cord Mesenchymal Stem Cells in the Treatment of Severe COVID-19","Not yet recruiting","No Results Available","2019 Novel Coronavirus Pneumonia|COVID-19","Biological: UC-MSCs|Drug: Placebo","Wuhan Union Hospital, China|Wuhan Hamilton Bio-technology Co., Ltd, China.","Interventional","Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04273646"
1406,"NCT04366206","Factors Associated With Clinical Outcomes in Patients Hospitalized for Covid-19 in GHT-93 Est","Recruiting","No Results Available","COVID|SARS-CoV 2",,"Centre Hospitalier Intercommunal Robert Ballanger|Groupe Hospitalier Pitie-Salpetriere","Observational","Centre Hospitalier Intercommunal Robert Ballanger, Aulnay-sous-Bois, France|Groupe Hospitalier Pitie Salpetriere, Paris, France",,"https://ClinicalTrials.gov/show/NCT04366206"
1407,"NCT04652102","A Study to Determine the Safety and Efficacy of SARS-CoV-2 mRNA Vaccine CVnCoV in Adults for COVID-19","Recruiting","No Results Available","Covid19|SARS-CoV-2","Biological: CVnCoV|Biological: Placebo","CureVac AG","Interventional","Centre for Vaccinology - Ghent University Hospital, Ghent, Belgium|University Hospital, Cologne, Germany|Ludwig-Maximilians-Universität München, München, Germany|University Hospital Tübingen Institut für Tropenmedizin, Tübingen, Germany|Noordwest Ziekenhuisgroep, Alkmaar, Netherlands|Universitair Medische Centra - Vrije Universiteit Medisch Centrum, Amsterdam, Netherlands|University of Utrecht, Utrecht, Netherlands",,"https://ClinicalTrials.gov/show/NCT04652102"
1408,"NCT04728698","Study of Intravenous Administration of Allogeneic Adipose-Derived Mesenchymal Stem Cells for COVID-19-Induced Acute Respiratory Distress","Not yet recruiting","No Results Available","Covid19|ARDS","Drug: COVI-MSC|Drug: Placebo","Sorrento Therapeutics, Inc.","Interventional","Fresno Community Hospital, Fresno, California, United States",,"https://ClinicalTrials.gov/show/NCT04728698"
1409,"NCT04482647","Breathing Techniques and Meditation for Health Care Workers During COVID-19 Pandemic","Recruiting","No Results Available","COVID-19 Infection","Other: Media Intervention|Procedure: Meditation Therapy|Other: Quality-of-Life Assessment|Other: Questionnaire Administration|Procedure: Yoga","M.D. Anderson Cancer Center|National Cancer Institute (NCI)","Interventional","M D Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04482647"
1410,"NCT04404361","PRE-VENT Study in Hospitalized Patients With Severe COVID-19 With or Without Cancer","Recruiting","No Results Available","COVID19|COVID-19|COVID","Drug: Pacritinib|Drug: Placebo","CTI BioPharma","Interventional","St. Jude Hospital Yorba Linda dba St. Joseph Heritage Healthcare, Orange, California, United States|Ascension St. Vincent's Riverside Hospital, Jacksonville, Florida, United States|Grady Memorial Hospital, Atlanta, Georgia, United States|St. Vincent Medical Group, Inc, Indianapolis, Indiana, United States|St. Agnes Healthcare, Baltimore, Maryland, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|University of Michigan, Ann Arbor, Michigan, United States|Ascension St. John Hospital, Detroit, Michigan, United States|Ascension Providence Hospital - Novi Campus, Novi, Michigan, United States|Providence Cancer Institute, Southfield, Michigan, United States|Atlantic Melanoma Center, Morristown, New Jersey, United States|Overlook Medical Center, Morristown, New Jersey, United States|Chilton Medical Center, Pompton Plains, New Jersey, United States|Mount Sinai Medical Center, New York, New York, United States|The Carl and Edyth Lindner Center for Research and Education at The Christ Hospital, Cincinnati, Ohio, United States|St. John Medical Center, Tulsa, Oklahoma, United States|Albert Einstein Medical Center, Philadelphia, Pennsylvania, United States|Rhode Island Hospital, Providence, Rhode Island, United States|The Miriam Hospital, Providence, Rhode Island, United States|Ascension St. Francis Hospital, Milwaukee, Wisconsin, United States|Ascension All Saints, Racine, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT04404361"
1411,"NCT04477083","Development and Validation of ""Ready-to-Use"" Inhalable Forms of Hydroxychloroquine for Treatment of COVID-19","Active, not recruiting","No Results Available","Covid19|Hydroxychloroquine Adverse Reaction","Drug: inhalable hydroxychloroquine (HCQ)|Drug: supportive and symptomatic treatment","Mansoura University","Interventional","Mansoura University Hospital, Mansoura, Outside U.S./Canada, Egypt",,"https://ClinicalTrials.gov/show/NCT04477083"
1412,"NCT04444531","Ozone Therapy and Coronavirus Disease of 2019 (COVID-19) Pneumonia","Completed","No Results Available","COVID-19 Pneumonia",,"Institut d'Investigació Biomèdica de Girona Dr. Josep Trueta","Observational","Policlinic Ibiza Hospital, Ibiza, Spain",,"https://ClinicalTrials.gov/show/NCT04444531"
1413,"NCT04323514","Use of Ascorbic Acid in Patients With COVID 19","Recruiting","No Results Available","Hospitalized Patients With Covid-19 Pneumonia","Dietary Supplement: Vitamin C","University of Palermo","Interventional","A.R.N.A.S. Civico - Di Cristina - Benfratelli, Palermo, Italy","""Study Protocol, Statistical Analysis Plan, and Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/14/NCT04323514/Prot_SAP_ICF_000.pdf","https://ClinicalTrials.gov/show/NCT04323514"
1414,"NCT04534790","Anti-inflammatory Effect of Low-Dose Whole-Lung Radiation for COVID-19 Pneumonia","Completed","No Results Available","COVID-19 Pneumonia","Radiation: Low Dose Radiotherapy","Instituto Mexicano del Seguro Social","Interventional","Social Secure Mexican Institute, Leon, Guanajuato, Mexico",,"https://ClinicalTrials.gov/show/NCT04534790"
